"id","samp_period","series","series_rep","rep_id","log.co2pmin_22","log.co2pmin_26","log.co2pmin_28","log.co2pmin_24","log.co2pmin_32","log.co2pmin_30","z.log.mass_22","z.log.mass_26","z.log.mass_28","z.log.mass_24","z.log.mass_32","z.log.mass_30","prior_temp_22","prior_temp_26","prior_temp_28","prior_temp_24","prior_temp_32","prior_temp_30"
"ld0011",9,"ld0011_9","ld0011_9_c_co2_samp_1","c_co2_samp_1",NA,NA,NA,NA,NA,-3.803226299,-0.595326433830964,-0.739711006785096,-0.595326433830964,-0.739711006785096,-0.837304326156058,-0.837304326156058,28,24,23,23,30,22.5
"ld0011",9,"ld0011_9","ld0011_9_c_co2_samp_2","c_co2_samp_2",NA,NA,NA,NA,NA,-3.960311014,-0.595326433830964,-0.739711006785096,-0.595326433830964,-0.739711006785096,-0.837304326156058,-0.837304326156058,28,24,23,23,30,22.5
"ld0013",1,"ld0013_1","ld0013_1_c_co2_samp_1","c_co2_samp_1",-3.859501362,NA,-5.370574793,NA,-3.275717007,-3.626239893,-0.539812259866226,-0.845486308583874,-0.539812259866226,-0.772121664194818,-0.772121664194818,-0.845486308583874,27.5,25.5,22,24.5,24,26
"ld0013",1,"ld0013_1","ld0013_1_c_co2_samp_2","c_co2_samp_2",-4.394220076,NA,-3.882101169,NA,-3.367603469,-3.814307532,-0.539812259866226,-0.845486308583874,-0.539812259866226,-0.772121664194818,-0.772121664194818,-0.845486308583874,27.5,25.5,22,24.5,24,26
"ld0013",10,"ld0013_10","ld0013_10_c_co2_samp_1","c_co2_samp_1",-4.174839547,-4.012887898,-3.57047981,-3.990812005,-3.159778633,-3.231688672,-1.44681892055421,-1.53492383254429,-1.77732260946078,-1.77732260946078,-1.44681892055421,-1.53492383254429,22,21.5,24,22,22,26
"ld0013",10,"ld0013_10","ld0013_10_c_co2_samp_2","c_co2_samp_2",-4.228767889,-4.008443139,-3.520282983,-4.231941418,-3.300909523,-3.284732227,-1.44681892055421,-1.53492383254429,-1.77732260946078,-1.77732260946078,-1.44681892055421,-1.53492383254429,22,21.5,24,22,22,26
"ld0013",2,"ld0013_2","ld0013_2_c_co2_samp_1","c_co2_samp_1",-3.441648415,-4.162534781,-3.722401569,-4.229043425,-2.927058863,NA,-0.902974795549526,-1.63287201405932,-1.18769057879897,-1.18769057879897,-0.902974795549526,-1.63287201405932,32,27,24,26,26.5,26
"ld0013",2,"ld0013_2","ld0013_2_c_co2_samp_2","c_co2_samp_2",-3.431186228,-4.091669515,NA,-3.772895037,-3.212033207,NA,-0.902974795549526,-1.63287201405932,-1.18769057879897,-1.18769057879897,-0.902974795549526,-1.63287201405932,32,27,24,26,26.5,26
"ld0013",3,"ld0013_3","ld0013_3_c_co2_samp_1","c_co2_samp_1",NA,-4.249606368,-3.052488015,-4.371561335,-3.640131761,-3.413226716,-1.6239223187215,-1.66876235250787,-1.6239223187215,-1.85044949530151,-1.85044949530151,-1.66876235250787,26,25.5,22,32,23,26
"ld0013",3,"ld0013_3","ld0013_3_c_co2_samp_2","c_co2_samp_2",-4.003823582,-4.176647674,-5.208442811,-4.132055193,-3.745260431,-3.489866325,-1.6239223187215,-1.66876235250787,-1.6239223187215,-1.85044949530151,-1.85044949530151,-1.66876235250787,26,25.5,22,32,23,26
"ld0013",4,"ld0013_4","ld0013_4_c_co2_samp_1","c_co2_samp_1",-4.322759032,-4.130458594,-3.44657724,-3.860119256,NA,-3.666008943,-1.65977599686529,-1.65977599686529,-1.31629828650098,-1.31629828650098,-1.68676271885675,-1.68676271885675,26,24.5,24,24.5,24.5,32
"ld0013",4,"ld0013_4","ld0013_4_c_co2_samp_2","c_co2_samp_2",-4.551407128,-4.128186959,-3.429975426,-3.96826199,-3.481682504,-3.711528407,-1.65977599686529,-1.65977599686529,-1.31629828650098,-1.31629828650098,-1.68676271885675,-1.68676271885675,26,24.5,24,24.5,24.5,32
"ld0013",5,"ld0013_5","ld0013_5_c_co2_samp_1","c_co2_samp_1",-4.561341961,NA,-3.807433756,-4.308756208,NA,-3.417353834,-0.919469491229695,-1.03580874948129,-1.10298745474819,-1.10298745474819,-1.03580874948129,-0.919469491229695,23,25.5,22.5,28,26,22
"ld0013",5,"ld0013_5","ld0013_5_c_co2_samp_2","c_co2_samp_2",-4.546191865,-4.166122365,-3.931103675,-3.971424646,-5.031270562,-3.539189442,-0.919469491229695,-1.03580874948129,-1.10298745474819,-1.10298745474819,-1.03580874948129,-0.919469491229695,23,25.5,22.5,28,26,22
"ld0013",6,"ld0013_6","ld0013_6_c_co2_samp_1","c_co2_samp_1",-4.078075347,-4.079220201,-3.918497817,NA,-3.695349281,-3.51253548,-1.36827381170776,-1.27321928236907,-0.911218267755655,-1.27321928236907,-1.36827381170776,-0.911218267755655,32,24,23,23.5,24,28
"ld0013",6,"ld0013_6","ld0013_6_c_co2_samp_2","c_co2_samp_2",-4.50620597,-4.192598023,NA,NA,-3.378196727,-3.558485409,-1.36827381170776,-1.27321928236907,-0.911218267755655,-1.27321928236907,-1.36827381170776,-0.911218267755655,32,24,23,23.5,24,28
"ld0013",7,"ld0013_7","ld0013_7_c_co2_samp_1","c_co2_samp_1",NA,-3.910503745,-3.888009538,-4.280939154,-5.002399314,-3.561639206,-1.20472975991595,-1.40309598247512,-1.40309598247512,-1.3076655504205,-1.3076655504205,-1.20472975991595,24,28,24,24,24,22
