"id","site","samp_period","series","obs","date","batch","ch_num","incb_num","incb_temp_id","incb_temp","prior_temp_1","prior_temp_2","prior_temp_3","prior_temp_4","body_temp","co2_samp_control","co2_samp_1","co2_samp_2","defecate","air_collect_notes","fms_notes","co2_warthog_notes","co2_samp_1_correct","co2_samp_2_correct","frac_co2","lizmass","total_air","total_co2","co2_pmin","z.incb_temp","z.body_temp","log.mass","z.log.mass","log.co2pmin","z.log.co2pmin","z.prior_temp_1","z.prior_temp_2","z.log.prior_temp_1","z.prior_temp_3","z.prior_temp_4","z.log.prior_temp_2","z.log.prior_temp_3","z.log.prior_temp_4","z.log.temp"
"ld0051","SP",1,"ld0051_1",652,"28/12/2016",1,1,1,1,26,24,22,22,28,22,0.000956,0.00529,0.00585,NA,"","","",0.004334,0.004894,0.004894,1.355,144.975,0.70950765,0.007883418,-0.300346364,-1.386835653,0.303801454,1.201840585,-4.842993713,0.619799745,-0.828646165348238,-1.2448066859146,-0.805600282147312,-1.18852127764524,0.969827496239916,-1.32511199871773,-1.26536226203824,0.97151882205222,-0.231603986367692
"ld0042","UNSWKen",1,"ld0042_1",431,"28/12/2016",1,2,1,1,26,24,23,23,28,23,0.000663,0.00353,0.00466,NA,"","","",0.002867,0.003997,0.003997,1.456,144.874,0.579061378,0.006434015,-0.300346364,-0.787961721,0.37569295,1.830307,-5.046156519,0.243627177,-0.828646165348238,-0.914824688540377,-0.805600282147312,-0.854543803792893,0.969827496239916,-0.936570415117313,-0.873061737998178,0.97151882205222,-0.231603986367692
"ld0170","UNSWKen",1,"ld0170_1",2379,"28/12/2016",1,3,1,1,26,24,21.5,21.5,28,21.5,0.000228,0.00239,0.00258,NA,"","","",0.002162,0.002352,0.002352,1.123,145.207,0.341526864,0.003794743,-0.300346364,-1.686272619,0.116003676,-0.439863985,-5.574138591,-0.733974857,-0.828646165348238,-1.40979768460172,-0.805600282147312,-1.35551001457141,0.969827496239916,-1.52605754734477,-1.46825185573222,0.97151882205222,-0.231603986367692
"ld0133","MP",1,"ld0133_1",1754,"28/12/2016",1,4,1,1,26,24,21.5,21.5,28,21.5,NA,0.0025,0.0027,1,"","","",0.0025,0.0027,0.0027,1.107,145.223,0.3921021,0.00435669,-0.300346364,-1.686272619,0.101653654,-0.565310074,-5.436042684,-0.478278979,-0.828646165348238,-1.40979768460172,-0.805600282147312,-1.35551001457141,0.969827496239916,-1.52605754734477,-1.46825185573222,0.97151882205222,-0.231603986367692
"ld0146","UNSWKen",1,"ld0146_1",2090,"28/12/2016",1,5,1,1,26,24,22,22,28,22,NA,0.00346,0.00242,1,"Forgot to flush","","",0.00346,0.00242,0.00346,1.226,145.104,0.50205984,0.005517141,-0.300346364,-1.386835653,0.203756838,0.327263122,-5.199895488,-0.041033111,-0.828646165348238,-1.2448066859146,-0.805600282147312,-1.18852127764524,0.969827496239916,-1.32511199871773,-1.26536226203824,0.97151882205222,-0.231603986367692
"ld0020","UNSWKen",1,"ld0020_1",316,"28/12/2016",1,6,1,1,26,24,22,22,28,22,0.000246,0.00219,0.00302,NA,"","","",0.001944,0.002774,0.002774,1.154,145.176,0.402718224,0.004474647,-0.300346364,-1.386835653,0.143234168,-0.201818445,-5.409327813,-0.428814208,-0.828646165348238,-1.2448066859146,-0.805600282147312,-1.18852127764524,0.969827496239916,-1.32511199871773,-1.26536226203824,0.97151882205222,-0.231603986367692
"ld0154","Maroubra",1,"ld0154_1",2241,"28/12/2016",1,7,1,1,26,24,22,22,28,22,NA,0.00277,0.00254,NA,"","","",0.00277,0.00254,0.00277,1.193,145.137,0.40202949,0.004417906,-0.300346364,-1.386835653,0.176471143,0.088735012,-5.422089451,-0.452443425,-0.828646165348238,-1.2448066859146,-0.805600282147312,-1.18852127764524,0.969827496239916,-1.32511199871773,-1.26536226203824,0.97151882205222,-0.231603986367692
"ld0118","SP",1,"ld0118_1",1538,"28/12/2016",1,8,1,1,26,24,23,23,28,23,NA,0.0026,0.00264,1,"","","",0.0026,0.00264,0.00264,1.395,144.935,0.3826284,0.004204708,-0.300346364,-0.787961721,0.332894415,1.456167592,-5.471550429,-0.544024476,-0.828646165348238,-0.914824688540377,-0.805600282147312,-0.854543803792893,0.969827496239916,-0.936570415117313,-0.873061737998178,0.97151882205222,-0.231603986367692
"ld0150","UNSWKen",1,"ld0150_1",2178,"28/12/2016",1,9,1,1,26,24,22.5,22.5,28,22.5,NA,0.00252,0.00288,NA,"","","",0.00252,0.00288,0.00288,1.331,144.999,0.41759712,0.004588979,-0.300346364,-1.087398687,0.285930539,1.045615293,-5.38409772,-0.382098624,-0.828646165348238,-1.07981568722749,-0.805600282147312,-1.02153254071906,0.969827496239916,-1.12868246486362,-1.0670323732427,0.97151882205222,-0.231603986367692
"ld0140","MP",1,"ld0140_1",1933,"28/12/2016",1,10,1,1,26,24,22,22,28,22,0.000572,0.00379,0.00455,NA,"FS","","",0.003218,0.003978,0.003978,1.082,145.248,0.577796544,0.006419962,-0.300346364,-1.386835653,0.07881118,-0.764996104,-5.04834308,0.239578579,-0.828646165348238,-1.2448066859146,-0.805600282147312,-1.18852127764524,0.969827496239916,-1.32511199871773,-1.26536226203824,0.97151882205222,-0.231603986367692
