"id","date","samp_period","series","batch","incb_temp","log.temp","log.prior_temp","orig_lizmass","log.mass","z.log.mass","orig_co2_pmin","log.co2pmin","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0006","29/1/2017",6,"ld0006_6",2,24,3.17805383034795,3.3322045101752,1.051,0.049742091894814,-1.00510247562257,0.002380961,-6.04025109128397,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0013","29/1/2017",6,"ld0013_6",2,24,3.17805383034795,3.3322045101752,1.021,0.0207825391825284,-1.2564045238804,0.003321349,-5.70738425328031,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0043","29/1/2017",6,"ld0043_6",2,24,3.17805383034795,3.3322045101752,1.099,0.0944006754214843,-0.617569089867457,0.005138943,-5.27090786268563,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0069","29/1/2017",6,"ld0069_6",2,24,3.17805383034795,3.3322045101752,1.356,0.304539189518204,1.20594799048994,0.005838788,-5.14323203792679,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0076","29/1/2017",6,"ld0076_6",2,24,3.17805383034795,3.3322045101752,1.307,0.267734434642085,0.886567702476291,0.003319592,-5.70791339517179,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0077","29/1/2017",6,"ld0077_6",2,24,3.17805383034795,3.3322045101752,1.342,0.29416103854949,1.11588960383328,0.00397761,-5.5270741425722,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0104","29/1/2017",6,"ld0104_6",2,24,3.17805383034795,3.3322045101752,1.321,0.278389025540188,0.979024949404237,0.004238725,-5.46349276250702,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0119","29/1/2017",6,"ld0119_6",2,24,3.17805383034795,3.3322045101752,1.221,0.199670195128568,0.295927267770882,0.00453385,-5.39618381081416,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0138","29/1/2017",6,"ld0138_6",2,24,3.17805383034795,3.3322045101752,1.07,0.0676586484738149,-0.849628134883871,0.002465908,-6.0051951823163,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0171","29/1/2017",6,"ld0171_6",2,24,3.17805383034795,3.3322045101752,1.174,0.160416721405905,-0.0447022455970994,0.003725671,-5.59250830914465,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0006","30/1/2017",6,"ld0006_6",2,32,3.46573590279973,3.17805383034795,1.049,0.0478373294141601,-1.02163141574774,0.006586072,-5.02279816280713,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0013","30/1/2017",6,"ld0013_6",2,32,3.46573590279973,3.15700042115011,1.01,0.00995033085316809,-1.35040307998272,0.009046569,-4.70536970917505,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0069","30/1/2017",6,"ld0069_6",2,32,3.46573590279973,3.2188758248682,1.329,0.284426779731108,1.03141871425724,0.014412938,-4.23962900356253,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0076","30/1/2017",6,"ld0076_6",2,32,3.46573590279973,3.2188758248682,1.321,0.278389025540188,0.979024949404237,0.006166866,-5.08856451176406,0.374694,0.287682,0.207639,0.133531,0.064539,0
