period,batch,chamber,id,tc,incubator,encl_id
7,2,7,ld0065,tc0134,1,e036
7,2,8,ld0104,tc0225,1,e027
7,2,9,ld0138,tc0323,1,e020
7,2,10,ld0107,tc0232,1,e045
7,2,11,ld0171,tc0311,2,e053
7,2,12,ld0077,tc0151,2,e032
7,2,13,ld0092,tc0212,2,e009
7,2,14,ld0115,tc0244,2,e041
7,2,15,ld0013,tc0021,2,e044
7,2,16,ld0119,tc0252,2,e018
7,2,17,ld0175,tc0234,2,e013
7,2,18,ld0153,tc0350,2,e049
7,2,19,ld0076,tc0150,2,e025
7,2,20,ld0006,tc0010,2,e031
7,2,21,ld0069,tc0142,2,e024
8,1,1,ld0089,tc0204,1,e023
8,1,2,ld0140,tc0325,1,e021
8,1,3,ld0088,tc0203,1,e041
8,1,4,ld0027,tc0043,1,e038
8,1,5,ld0170,tc0415,1,e052
8,1,6,ld0020,tc0032,1,e014
8,1,7,ld0095,tc0214,1,e043
8,1,8,ld0051,tc0140,1,e003
8,1,9,ld0146,tc0340,1,e013
8,1,10,ld0154,tc02(A)0,1,e040
8,1,11,ld0155,tc1342,2,e008
8,1,12,ld0105,tc0230,2,e048
8,1,13,ld0150,tc0344,2,e017
8,1,14,ld0042,tc0103,2,e022
8,1,15,ld0133,tc0314,2,e015
8,1,16,ld0002,tc0002,2,e005
8,1,17,ld0018,tc0A30,2,e011
8,1,18,ld0142,tc0331,2,e007
8,1,19,ld0049,tc01(12)0,2,e033
8,1,20,ld0011,tc0015,2,e029
8,1,21,ld0118,tc0251,2,e042
8,2,1,ld0069,tc0142,1,e024
8,2,2,ld0092,tc0212,1,e009
8,2,3,ld0153,tc0350,1,e049
8,2,4,ld0006,tc0010,1,e031
8,2,5,ld0119,tc0252,1,e018
8,2,6,ld0043,tc0104,1,e028
8,2,7,ld0111,tc0242,1,e026
8,2,8,ld0115,tc0244,1,e041
8,2,9,ld0128,tc0305,1,e034
8,2,10,ld0107,tc0232,1,e045
8,2,11,ld0171,tc0311,2,e053
8,2,12,ld0065,tc0134,2,e036
8,2,13,ld0175,tc0234,2,e013
8,2,14,ld0138,tc0323,2,e020
8,2,15,ld0137,tc0322,2,e001
8,2,16,ld0143,tc0333,2,e046
8,2,17,ld0104,tc0225,2,e027
8,2,18,ld0013,tc0021,2,e044
8,2,19,ld0075,tc0145,2,e002
8,2,20,ld0076,tc0150,2,e025
8,2,21,ld0077,tc0151,2,e032
9,1,1,ld0011,tc0015,1,e029
9,1,2,ld0105,tc0230,1,e048
9,1,3,ld0142,tc0331,1,e007
9,1,4,ld0042,tc0103,1,e022
9,1,5,ld0049,tc01(12)0,1,e033
9,1,6,ld0154,tc02(A)0,1,e040
9,1,7,ld0133,tc0314,1,e015
9,1,8,ld0089,tc0204,1,e023
9,1,9,ld0002,tc0002,1,e005
9,1,10,ld0170,tc0415,1,e052
9,1,11,ld0155,tc1342,2,e008
9,1,12,ld0051,tc0140,2,e003
9,1,13,ld0118,tc0251,2,e042
9,1,14,ld0140,tc0325,2,e021
9,1,15,ld0146,tc0340,2,e013
9,1,16,ld0095,tc0214,2,e043
9,1,17,ld0027,tc0043,2,e038
9,1,18,ld0150,tc0344,2,e017
9,1,19,ld0020,tc0032,2,e014
9,1,20,ld0018,tc0A30,2,e011
9,1,21,ld0088,tc0203,2,e041
9,2,1,ld0069,tc0142,1,e024
9,2,2,ld0065,tc0134,1,e036
9,2,3,ld0153,tc0350,1,e049
9,2,4,ld0076,tc0150,1,e025
9,2,5,ld0111,tc0242,1,e026
9,2,6,ld0115,tc0244,1,e041
9,2,7,ld0128,tc0305,1,e034
9,2,8,ld0043,tc0104,1,e028
9,2,9,ld0143,tc0333,1,e046
9,2,10,ld0137,tc0322,1,e001
9,2,11,ld0104,tc0225,2,e027
9,2,12,ld0171,tc0311,2,e053
9,2,13,ld0175,tc0234,2,e013
9,2,14,ld0119,tc0252,2,e018
9,2,15,ld0138,tc0323,2,e020
9,2,16,ld0013,tc0021,2,e044
9,2,17,ld0077,tc0151,2,e032
9,2,18,ld0092,tc0212,2,e009
9,2,19,ld0107,tc0232,2,e045
9,2,20,ld0075,tc0145,2,e002
9,2,21,ld0006,tc0010,2,e031
10,1,1,ld0002,tc0002,1,e005
10,1,2,ld0140,tc0325,1,e021
10,1,3,ld0011,tc0015,1,e029
10,1,4,ld0089,tc0204,1,e023
10,1,5,ld0042,tc0103,1,e022
10,1,6,ld0049,tc01(12)0,1,e033
10,1,7,ld0170,tc0415,1,e052
10,1,8,ld0020,tc0032,1,e014
10,1,9,ld0095,tc0214,1,e043
10,1,10,ld0051,tc0140,1,e003
10,1,11,ld0133,tc0314,2,e015
