series,id,samp_period,Intercept,inverseK_incb_temp,z.log.mass,inverseK_prior_temp2
ld0111_7,ld0111,7,-0.166563688,1.424888147,0.354044931,0.051851362
ld0111_8,ld0111,8,-0.164109826,1.493200324,0.354044931,0.051851362
ld0111_9,ld0111,9,-0.142491486,1.412567698,0.354044931,0.051851362
ld0115_1,ld0115,1,-0.332820436,1.572241912,0.354044931,0.051851362
ld0115_10,ld0115,10,0.092848518,1.419214212,0.354044931,0.051851362
ld0115_2,ld0115,2,-0.143363888,1.354195159,0.354044931,0.051851362
ld0115_3,ld0115,3,0.221892972,1.143810239,0.354044931,0.051851362
ld0115_4,ld0115,4,0.144688533,1.358472045,0.354044931,0.051851362
ld0115_5,ld0115,5,-0.095985723,1.364782876,0.354044931,0.051851362
ld0115_6,ld0115,6,-0.080230285,1.569846218,0.354044931,0.051851362
ld0115_7,ld0115,7,-0.050904924,1.387323514,0.354044931,0.051851362
ld0115_8,ld0115,8,-0.024595929,1.438583399,0.354044931,0.051851362
ld0115_9,ld0115,9,0.194729372,1.361043755,0.354044931,0.051851362
ld0118_1,ld0118,1,0.319008368,1.115438554,0.354044931,0.051851362
ld0118_10,ld0118,10,-0.10572535,1.463550712,0.354044931,0.051851362
ld0118_2,ld0118,2,0.118968338,1.295368138,0.354044931,0.051851362
ld0118_3,ld0118,3,-0.201560489,1.477948303,0.354044931,0.051851362
ld0118_4,ld0118,4,-0.318111509,1.590528958,0.354044931,0.051851362
ld0118_5,ld0118,5,0.020818911,1.293426933,0.354044931,0.051851362
ld0118_6,ld0118,6,-0.084295834,1.382922567,0.354044931,0.051851362
ld0118_7,ld0118,7,-0.052516668,1.472054963,0.354044931,0.051851362
ld0118_8,ld0118,8,0.098106153,1.375169006,0.354044931,0.051851362
ld0118_9,ld0118,9,-0.018063763,1.412920721,0.354044931,0.051851362
ld0119_1,ld0119,1,-0.11085525,1.444306845,0.354044931,0.051851362
ld0119_10,ld0119,10,0.023221788,1.311087987,0.354044931,0.051851362
ld0119_2,ld0119,2,-0.033841277,1.505398295,0.354044931,0.051851362
ld0119_3,ld0119,3,0.401990611,1.174517176,0.354044931,0.051851362
ld0119_4,ld0119,4,0.202227206,1.187918019,0.354044931,0.051851362
ld0119_5,ld0119,5,-0.24132793,1.399635152,0.354044931,0.051851362
ld0119_6,ld0119,6,0.186023868,1.294721848,0.354044931,0.051851362
ld0119_7,ld0119,7,-0.024765017,1.349829226,0.354044931,0.051851362
ld0119_8,ld0119,8,-0.25450947,1.553413223,0.354044931,0.051851362
ld0119_9,ld0119,9,0.078175103,1.297923224,0.354044931,0.051851362
ld0128_1,ld0128,1,0.051068009,1.321790567,0.354044931,0.051851362
ld0128_10,ld0128,10,-0.108017872,1.495147425,0.354044931,0.051851362
ld0128_2,ld0128,2,0.088330392,1.375922114,0.354044931,0.051851362
ld0128_3,ld0128,3,-0.06306988,1.480612281,0.354044931,0.051851362
ld0128_4,ld0128,4,0.021057654,1.340334774,0.354044931,0.051851362
ld0128_5,ld0128,5,0.205019356,1.247275251,0.354044931,0.051851362
ld0128_6,ld0128,6,0.055576271,1.290342721,0.354044931,0.051851362
ld0128_7,ld0128,7,-0.301679123,1.594995649,0.354044931,0.051851362
ld0128_8,ld0128,8,-0.226970678,1.486500326,0.354044931,0.051851362
ld0128_9,ld0128,9,0.114025855,1.315216747,0.354044931,0.051851362
ld0133_1,ld0133,1,0.294536673,1.251643058,0.354044931,0.051851362
ld0133_10,ld0133,10,-0.081676003,1.407739107,0.354044931,0.051851362
ld0133_2,ld0133,2,0.04961857,1.388611031,0.354044931,0.051851362
ld0133_3,ld0133,3,0.105704848,1.414731137,0.354044931,0.051851362
ld0133_4,ld0133,4,0.071568732,1.393565776,0.354044931,0.051851362
ld0133_5,ld0133,5,-0.144861587,1.497821836,0.354044931,0.051851362
ld0133_6,ld0133,6,-0.284095307,1.530221366,0.354044931,0.051851362
ld0133_7,ld0133,7,-0.197818885,1.460123616,0.354044931,0.051851362
ld0133_8,ld0133,8,-0.101929735,1.391411046,0.354044931,0.051851362
ld0133_9,ld0133,9,-0.029213792,1.441250211,0.354044931,0.051851362
ld0137_1,ld0137,1,0.188563109,1.139326699,0.354044931,0.051851362
ld0137_10,ld0137,10,0.07283252,1.453704971,0.354044931,0.051851362
ld0137_2,ld0137,2,0.116243855,1.4886014,0.354044931,0.051851362
ld0137_3,ld0137,3,0.582253267,1.014605493,0.354044931,0.051851362
ld0137_4,ld0137,4,0.152661742,1.132084001,0.354044931,0.051851362
ld0137_5,ld0137,5,-0.450207013,1.675431695,0.354044931,0.051851362
ld0137_6,ld0137,6,-0.060629646,1.439818426,0.354044931,0.051851362
ld0137_7,ld0137,7,-0.436049867,1.653561868,0.354044931,0.051851362
ld0137_8,ld0137,8,-0.07341193,1.299388578,0.354044931,0.051851362
ld0137_9,ld0137,9,0.043512894,1.361516024,0.354044931,0.051851362
ld0138_1,ld0138,1,-0.061131651,1.39416799,0.354044931,0.051851362
ld0138_10,ld0138,10,0.123006597,1.345831725,0.354044931,0.051851362
ld0138_2,ld0138,2,-0.011126043,1.407197027,0.354044931,0.051851362
ld0138_3,ld0138,3,-0.032305801,1.461613422,0.354044931,0.051851362
ld0138_4,ld0138,4,-0.057235003,1.418442776,0.354044931,0.051851362
ld0138_5,ld0138,5,-0.053905142,1.406884288,0.354044931,0.051851362
ld0138_6,ld0138,6,-0.273057407,1.556462449,0.354044931,0.051851362
ld0138_7,ld0138,7,-0.099229057,1.428328913,0.354044931,0.051851362
ld0138_8,ld0138,8,0.082632091,1.365538439,0.354044931,0.051851362
ld0138_9,ld0138,9,0.156336771,1.286622734,0.354044931,0.051851362
ld0140_1,ld0140,1,0.206910464,1.260772876,0.354044931,0.051851362
ld0140_10,ld0140,10,0.046820456,1.369781656,0.354044931,0.051851362
ld0140_2,ld0140,2,0.281457324,1.219454038,0.354044931,0.051851362
ld0140_3,ld0140,3,0.02750227,1.353628354,0.354044931,0.051851362
ld0140_4,ld0140,4,0.0145768,1.397404648,0.354044931,0.051851362
ld0140_5,ld0140,5,0.097759424,1.221226711,0.354044931,0.051851362
ld0140_6,ld0140,6,-0.226761836,1.551744096,0.354044931,0.051851362
ld0140_7,ld0140,7,-0.164957084,1.458538363,0.354044931,0.051851362
ld0140_8,ld0140,8,-0.04645662,1.450450952,0.354044931,0.051851362
ld0140_9,ld0140,9,-0.022008011,1.390176779,0.354044931,0.051851362
ld0142_1,ld0142,1,0.255213833,1.252250723,0.354044931,0.051851362
ld0142_10,ld0142,10,-0.0331798,1.388364954,0.354044931,0.051851362
ld0142_2,ld0142,2,0.042804972,1.217633563,0.354044931,0.051851362
ld0142_3,ld0142,3,0.249655249,1.215289557,0.354044931,0.051851362
ld0142_4,ld0142,4,-0.03362794,1.415057872,0.354044931,0.051851362
ld0142_5,ld0142,5,0.146902755,1.339115828,0.354044931,0.051851362
ld0142_6,ld0142,6,-0.162299778,1.422092807,0.354044931,0.051851362
ld0142_7,ld0142,7,-0.314143563,1.518165571,0.354044931,0.051851362
ld0142_8,ld0142,8,-0.0273168,1.489198192,0.354044931,0.051851362
ld0142_9,ld0142,9,0.09286447,1.313190922,0.354044931,0.051851362
ld0143_1,ld0143,1,0.263241896,1.277810183,0.354044931,0.051851362
ld0143_10,ld0143,10,-0.070644094,1.453858554,0.354044931,0.051851362
ld0143_2,ld0143,2,-0.150880855,1.418195908,0.354044931,0.051851362
ld0143_3,ld0143,3,0.326416739,1.01298774,0.354044931,0.051851362
ld0143_4,ld0143,4,-0.236957887,1.558155293,0.354044931,0.051851362
ld0143_5,ld0143,5,-0.320850636,1.640590779,0.354044931,0.051851362
ld0143_6,ld0143,6,0.043399393,1.483298914,0.354044931,0.051851362
ld0143_7,ld0143,7,-0.002367148,1.361928538,0.354044931,0.051851362
ld0143_8,ld0143,8,-0.076814918,1.489022498,0.354044931,0.051851362
